麗日　お茶子,ウララカ　オチャコ,北九州市,女性,未成年,080-2222-2221,urabity@test.com,12月13日,送迎希望,ホットココア,ウラビティ
緑谷　出久,ミドリヤ　イズク,久留米市,男性,未成年,080-1111-1111,deku@test.com,12月13日,送迎希望,ホットココア,デク
爆豪　勝己,バクゴウ　カツキ,久留米市,男性,未成年,080-1111-1112,dainama@test.com,12月13日,送迎希望,ホットコーヒー,ダイナマイト
飯田　天哉,イイダ　テンヤ,福岡市,男性,未成年,080-3333-3331,ingenium@test.com,12月13日,送迎希望,ホットココア,インゲニウム
八百万　百,ヤオヨロズ　モモ,福岡市,女性,未成年,080-3333-3332,kuriety@test.com,12月13日,送迎希望,ホットココア,クリエティ
轟　焦凍,トドロキ　ショウト,那珂川市,男性,未成年,080-4444-4441,syoto@test.com,12月13日,送迎希望,ホットココア,ショート
相澤　消太,アイザワ　ショウタ,春日市,男性,20歳以上,080-5555-5551,eraserhead@test.com,12月13日,送迎希望,ホットワイン,イレイサーヘッド
八木　俊典,ヤギ　トシノリ,筑紫野市,男性,20歳以上,080-6666-6661,almight@test.com,12月13日,送迎は不要,ホットコーヒー,オールマイト
志村　転狐,シムラ　テンコ,大野城市,男性,20歳以上,080-7777-7771,sigaraki@test.com,12月14日,送迎は不要,ホットコーヒー,死柄木弔
分倍河原　仁,ブバイガワラ　ジン,古賀市,男性,20歳以上,080-8888-8881,tuwise@test.com,12月14日,送迎希望,ホットワイン,トゥワイス
引石　健磁,ヒキイシ　ケンジ,春日市,非公表,20歳以上,080-5555-5552,magune@test.com,12月14日,送迎希望,ホットワイン,マグネ
伊口　秀一,イグチ　シュウイチ,筑紫野市,男性,20歳以上,080-6666-6662,supina@test.com,12月14日,送迎希望,ホットコーヒー,スピナー
渡我　被身子,トガ　ヒミコ,大野城市,女性,未成年,080-7777-7772,toga@test.com,12月14日,送迎希望,ホットココア,トガヒミコ
小大　唯,コダイ　ユイ,福岡市,女性,未成年,080-3333-3333,size＠test.com,12月15日,送迎希望,ホットコーヒー,ルール
拳藤　一佳,ケンドウ　イチカ,那珂川市,女性,未成年,080-4444-4442,battlefist@test.com,12月15日,送迎希望,ホットコーヒー,バトルフィスト
小森　希乃子,コモリ　キノコ,糸島市,女性,未成年,080-9999-9991,simeji@test.com,12月15日,送迎希望,ホットココア,シーメイジ
山田　ひざし,ヤマダ　ヒザシ,大野城市,男性,20歳以上,080-7777-7773,presentmike@test.com,12月15日,送迎希望,ホットワイン,プレゼントマイク
天喰　環,アマジキ　タマキ,糸島市,男性,18歳～20歳未満,080-999-9992,sun@test.com,12月15日,送迎は不要,ホットコーヒー,サンイーター
